Name,RAJ2000,DEJ2000,z,Vmed,Per,logMBH,r,tinsp,DtGW,LC,SimbadName,RAJ2000,Class,QSO,FNUV,DEJ2000,z
UM 234,5.763333333333330,1.2594166666666700,0.729,17.82,1818,9.19,0.011,12000.0,3.01,lightcurves0.png,UM 234,5.763136,3,1,35.9188,1.259334,0.729
PKS 0157+011,30.016250000000000,1.4201666666666700,1.17,18.04,1052,,,,,lightcurves0.png,PKS 0157+011,30.016409,0,1,30.6458,1.419977,1.163912
US 3204,42.370416666666700,1.1569444444444400,0.954,18.09,1666,8.95,0.008,17000.0,1.03,lightcurves0.png,US 3204,42.370274,0,1,0.0021,1.156838,0.953672
SDSS J080237.60+340446.3,120.65666666666700,34.079611111111100,1.119,18.4,1428,8.96,0.007,8800.0,0.94,lightcurves1.png,SDSS J080237.60+340446.3,120.656682,0,1,24.1155,34.079533,1.121649
SDSS J080648.65+184037.0,121.70250000000000,18.677027777777800,0.745,20.61,892,7.99,0.003,170000.0,0.02,lightcurves1.png, ,121.702723,30,1,0.0412,18.676967,0.745
SDSS J080809.56+311519.1,122.03958333333300,31.255250000000000,2.642,18.91,1162,8.36,0.003,12000.0,0.08,lightcurves1.png, ,122.03988,3,1,0.9217,31.255307,2.642
SDSS J081133.43+065558.1,122.88916666666700,6.9328611111111100,1.266,18.48,1587,9.39,0.01,1800.0,5.0,lightcurves1.png,SDSS J081133.43+065558.1,122.889295,0,1,10.8487,6.932828,1.268986
SDSS J082716.85+490534.0,126.82041666666700,49.09302777777780,0.682,18.38,1612,8.96,0.009,22000.0,1.26,lightcurves1.png,SDSS J082716.85+490534.0,126.820217,0,1,24.7596,49.092795,0.682589
SDSS J082827.84+400333.9,127.11583333333300,40.05947222222220,0.968,17.79,1886,8.87,0.008,31000.0,0.8,lightcurves1.png,SDSS J082827.84+400333.9,127.116037,3,1,42.9637,40.059426,0.968
SDSS J082926.01+180020.7,127.35833333333300,18.00575,0.81,19.81,1449,8.42,0.005,110000.0,0.14,lightcurves2.png,SDSS J082926.01+180020.7,127.358392,0,1,9.9859,18.005772,0.810865
SDSS J083349.55+232809.0,128.45666666666700,23.469222222222200,1.155,17.58,1086,9.4,0.008,740.0,4.67,lightcurves2.png,SDSS J083349.55+232809.0,128.456503,0,1,53.0127,23.46918,1.160785
SDSS J091554.50+352949.6,138.97708333333300,35.49719444444440,0.896,17.92,1369,9.05,0.008,7300.0,1.48,lightcurves2.png,SDSS J091554.50+352949.6,138.977087,0,1,31.0031,35.497135,0.896865
SBS 0920+590,140.9945833333330,58.81841666666670,0.709,16.76,649,8.76,0.004,4100.0,0.42,lightcurves2.png,SBSS 0920+590,140.994985,0,1,111.9031,58.818392,0.709347
HS 0926+3608,142.4670833333330,35.913777777777800,2.15,16.99,1562,9.95,0.012,84.0,38.78,lightcurves2.png,HS 0926+3608,142.46742,3,1,8.7322,35.913842,2.15
SDSS J093819.25+361858.7,144.58041666666700,36.31636111111110,1.677,18.8,1265,9.32,0.007,830.0,3.33,lightcurves2.png,SDSS J093819.25+361858.7,144.580244,0,1,3.7507,36.316308,1.677376
SDSS J094715.56+631716.4,146.81500000000000,63.28813888888890,0.487,16.1,1724,9.22,0.012,13000.0,4.32,lightcurves3.png,SDSS J094715.56+631716.4,146.81484,0,1,235.9194,63.287906,0.488211
HS 0946+4845,147.50291666666700,48.52497222222220,0.589,16.87,1587,8.59,0.007,100000.0,0.33,lightcurves3.png,HS 0946+4845,147.503078,3,1,110.2489,48.524817,0.589
KUV 09484+3557,147.8495833333330,35.71366666666670,0.398,17.77,1162,8.31,0.005,180000.0,0.13,lightcurves3.png,KUV 09484+3557,147.849696,0,1,38.5836,35.713592,0.398791
SDSS J102255.21+172155.7,155.73,17.365555555555600,1.062,18.48,1666,8.69,0.006,39000.0,0.37,lightcurves3.png,SDSS J102255.21+172155.7,155.730069,0,1,0.0,17.365499,1.0621
RXS J10304+5516,157.60416666666700,55.27316666666670,0.435,16.74,1515,8.43,0.006,220000.0,0.21,lightcurves3.png,RX J1030.4+5516,157.603973,3,1,92.5913,55.272973,0.435
SDSS J103111.52+491926.5,157.79791666666700,49.32422222222220,1.203,17.64,1612,9.04,0.008,7800.0,1.34,lightcurves3.png,SDSS J103111.52+491926.5,157.798034,3,1,-0.1114,49.324038,1.205
SDSS J104430.25+051857.2,161.12625000000000,5.315777777777780,0.905,17.33,1333,9.24,0.009,3300.0,2.98,lightcurves3.png,SDSS J104430.25+051857.2,161.12608,3,1,21.2982,5.315914,0.905
SDSS J104758.34+284555.8,161.99291666666700,28.765611111111100,0.792,19.09,1851,8.72,0.008,69000.0,0.47,lightcurves3.png,SDSS J104758.34+284555.8,161.993085,0,1,14.3225,28.765511,0.792169
SDSS J104941.01+085548.4,162.42083333333300,8.930138888888890,1.185,17.87,1428,9.37,0.009,1700.0,4.52,lightcurves3.png,SDSS J104941.01+085548.4,162.420879,0,1,32.3737,8.930132,1.1848
SDSS J113050.21+261211.4,172.70916666666700,26.203277777777800,1.012,17.69,2173,9.32,0.013,7600.0,4.58,lightcurves4.png,SDSS J113050.21+261211.4,172.709248,0,1,42.2054,26.203168,1.012562
SDSS J114438.34+262609.4,176.1595833333330,26.436138888888900,0.974,18.39,1315,9.38,0.01,1700.0,4.88,lightcurves4.png,SDSS J114438.34+262609.4,176.159756,0,1,16.5342,26.435972,0.973461
SDSS J114749.70+163106.7,176.95708333333300,16.518555555555600,0.554,18.78,1449,8.22,0.005,350000.0,0.08,lightcurves4.png,SDSS J114749.70+163106.7,176.957105,0,1,-1.0,16.518539,0.5538
SDSS J114857.33+160023.1,177.23916666666700,16.006305555555600,1.224,18.14,1851,9.9,0.017,410.0,37.61,lightcurves4.png,SDSS J114857.33+160023.1,177.238914,0,1,0.0,16.006438,1.230652
SDSS J115141.81+142156.6,177.92416666666700,14.365833333333300,1.002,18.11,1492,9.11,0.009,6300.0,1.82,lightcurves4.png,SDSS J115141.81+142156.6,177.924219,0,1,0.0,14.365724,1.002583
SDSS J115346.39+241829.4,178.4433333333330,24.308277777777800,0.753,18.41,1666,8.97,0.009,21000.0,1.25,lightcurves4.png,SDSS J115346.39+241829.4,178.443322,0,1,28.5063,24.308182,0.752435
SDSS J121018.34+015405.9,182.57625,1.901722222222220,0.216,16.9,1612,8.54,0.008,260000.0,0.56,lightcurves5.png,SDSS J121018.34+015405.9,182.576455,0,1,78.4342,1.901654,0.216264
SDSS J121056.83+231912.5,182.73666666666700,23.320277777777800,1.26,18.47,1785,8.78,0.007,27000.0,0.49,lightcurves5.png,SDSS J121056.83+231912.5,182.736828,0,1,12.8161,23.320161,1.2598
SDSS J121457.39+132024.3,183.73916666666700,13.340138888888900,1.494,18.59,1923,9.46,0.011,1800.0,6.61,lightcurves5.png,SDSS J121457.39+132024.3,183.739157,0,1,9.9019,13.340087,1.490295
SDSS J123147.27+101705.3,187.9470833333330,10.284833333333300,1.733,18.83,1851,9.2,0.009,3500.0,2.32,lightcurves5.png,SDSS J123147.27+101705.3,187.946982,0,1,2.8019,10.284833,1.73617
SDSS J123821.84+030024.2,189.5908333333330,3.006833333333330,0.38,18.46,1250,8.92,0.008,22000.0,1.42,lightcurves5.png,SDSS J123821.84+030024.2,189.591022,0,1,-1.0,3.006741,0.38126
SDSS J124044.49+231045.8,190.18541666666700,23.17947222222220,0.722,18.4,1428,8.94,0.008,16000.0,1.08,lightcurves5.png,SDSS J124044.49+231045.8,190.18539,0,1,25.025,23.179393,0.7225
SDSS J124119.04+203452.7,190.32916666666700,20.5815,1.492,18.44,1219,9.4,0.008,680.0,4.54,lightcurves5.png,SDSS J124119.04+203452.7,190.329346,0,1,24.5303,20.581326,1.4916
SDSS J124157.90+130104.1,190.49125000000000,13.01797222222220,1.227,18.83,1538,8.95,0.007,9400.0,0.93,lightcurves5.png,SDSS J124157.90+130104.1,190.491258,0,1,12.7484,13.017807,1.228799
SDSS J125414.23+131348.1,193.55916666666700,13.230111111111100,0.655,18.11,1754,8.94,0.009,32000.0,1.2,lightcurves6.png,SDSS J125414.23+131348.1,193.559311,0,1,25.1075,13.230037,0.65478
SDSS J130040.62+172758.4,195.16916666666700,17.46625,0.863,19.26,1818,8.88,0.008,32000.0,0.84,lightcurves6.png,SDSS J130040.62+172758.4,195.169262,0,1,6.3167,17.466227,0.8628
SNU J13120+0641,198.01958333333300,6.685444444444440,0.242,15.82,1492,9.14,0.012,20000.0,5.07,lightcurves6.png,SDSS J131204.70+064107.5,198.019617,0,1,130.1284,6.68544,0.2419
SDSS J131706.19+271416.7,199.2758333333330,27.23797222222220,2.672,17.83,1666,9.92,0.011,77.0,33.85,lightcurves6.png,SDSS J131706.19+271416.7,199.275804,3,1,4.1442,27.237996,2.685
SDSS J131909.08+090814.7,199.78791666666700,9.137527777777780,0.882,18.01,1298,8.67,0.006,28000.0,0.34,lightcurves6.png,SDSS J131909.08+090814.7,199.787838,0,1,26.6062,9.13744,0.882735
SDSS J132103.41+123748.2,200.26416666666700,12.630027777777800,0.687,18.62,1538,8.91,0.008,24000.0,0.99,lightcurves6.png,SDSS J132103.41+123748.2,200.264228,0,1,25.5328,12.630073,0.687167
SDSS J133127.31+182416.9,202.86375000000000,18.404750000000000,0.938,17.44,1639,9.39,0.011,3000.0,5.61,lightcurves6.png,SDSS J133127.31+182416.9,202.863812,0,1,61.7284,18.404721,0.9379
SDSS J133631.45+175613.8,204.1308333333330,17.93725,0.421,18.2,1562,9.03,0.01,24000.0,2.19,lightcurves6.png,SDSS J133631.45+175613.8,204.13106,0,1,26.3857,17.937167,0.4215
SDSS J133654.44+171040.3,204.22666666666700,17.178000000000000,1.231,17.96,1408,9.24,0.008,2500.0,2.68,lightcurves7.png,SDSS J133654.44+171040.3,204.226852,0,1,32.2043,17.177883,1.2312
SDSS J133807.69+360220.3,204.5320833333330,36.03897222222220,1.196,18.44,1960,9.14,0.01,9100.0,2.09,lightcurves7.png,SDSS J133807.69+360220.3,204.53207,0,1,0.0,36.038976,1.200469
SDSS J134855.27-032141.4,207.23041666666700,-3.3615000000000000,2.099,17.19,1428,9.89,0.011,87.0,29.98,lightcurves7.png,SDSS J134855.27-032141.4,207.230308,0,1,29.6906,-3.361501,2.104287
SDSS J135225.80+132853.2,208.10750000000000,13.48147222222220,0.402,16.44,1754,8.75,0.009,100000.0,0.81,lightcurves7.png,SDSS J135225.80+132853.2,208.107517,0,1,120.3549,13.481469,0.404924
SDSS J140600.26+013252.2,211.50125000000000,1.5478888888888900,0.454,18.0,2000,8.41,0.007,470000.0,0.21,lightcurves7.png,SDSS J140600.26+013252.2,211.501105,0,1,46.5859,1.547852,0.454879
SDSS J140704.43+273556.6,211.76875000000000,27.59897222222220,2.222,17.32,1562,9.94,0.012,84.0,36.3,lightcurves7.png,SDSS J140704.43+273556.6,211.76846,3,1,27.1444,27.599069,2.225
SDSS J141425.92+171811.2,213.60791666666700,17.30322222222220,0.409,18.33,1785,8.59,0.008,190000.0,0.43,lightcurves7.png,SDSS J141425.92+171811.2,213.60804,0,1,0.0,17.303132,0.4093
3C 298.0,214.78416666666700,6.476416666666670,1.437,16.53,1960,9.57,0.013,1300.0,10.45,lightcurves7.png,3C 298.0,214.784075,0,1,50.2363,6.476334,1.43812
SDSS J142301.96+101500.1,215.7583333333330,10.250000000000000,1.052,17.96,1234,9.46,0.01,950.0,6.29,lightcurves8.png,SDSS J142301.96+101500.1,215.758194,0,1,24.4408,10.250055,1.050173
SDSS J143621.29+072720.8,219.08875000000000,7.45586111111111,0.889,17.07,1886,9.03,0.01,19000.0,1.5,lightcurves8.png,SDSS J143621.29+072720.8,219.088712,0,1,88.1767,7.455803,0.894367
SDSS J143820.60+055447.9,219.5858333333330,5.913361111111110,0.614,18.71,1851,8.19,0.006,690000.0,0.07,lightcurves8.png,SDSS J143820.60+055447.9,219.58587,0,1,23.991,5.913307,0.614093
SDSS J144754.62+132610.0,221.97750000000000,13.43622222222220,0.572,18.39,1960,8.58,0.008,190000.0,0.35,lightcurves8.png,SDSS J144754.62+132610.0,221.977589,0,1,18.8158,13.436137,0.5725
SDSS J144755.57+100040.0,221.98166666666700,10.011222222222200,0.678,17.65,862,8.93,0.006,4700.0,0.9,lightcurves8.png,SDSS J144755.57+100040.0,221.981565,0,1,59.7677,10.01112,0.678795
SDSS J150450.16+012215.5,226.20916666666700,1.3710555555555600,0.967,17.75,1724,9.2,0.01,7000.0,2.7,lightcurves8.png,SDSS J150450.16+012215.5,226.209032,0,1,36.1456,1.370993,0.966695
QNZ3:54,229.52750000000000,1.5263611111111100,1.402,18.64,1724,9.27,0.009,3100.0,3.17,lightcurves8.png,FOCAP QNZ3:54,229.527589,0,1,7.8152,1.526167,1.4016
SDSS J152035.23+095925.2,230.14666666666700,9.990472222222220,1.049,18.88,1204,9.12,0.007,3300.0,1.7,lightcurves8.png,SDSS J152035.23+095925.2,230.1468,0,1,0.6445,9.990351,1.045028
SDSS J152157.02+181018.6,230.48750000000000,18.172000000000000,0.731,18.23,1960,7.95,0.005,1600000.0,0.03,lightcurves8.png,SDSS J152157.02+181018.6,230.487586,0,1,16.8179,18.171856,0.731
SDSS J153636.22+044127.0,234.1508333333330,4.690805555555560,0.379,16.75,1111,8.82,0.007,24000.0,0.94,lightcurves8.png,SDSS J153636.22+044127.0,234.15093,0,1,19.1013,4.690837,0.3791
SDSS J154409.61+024040.0,236.04000000000000,2.677722222222220,0.964,18.72,2000,8.76,0.008,55000.0,0.53,lightcurves9.png,SDSS J154409.61+024040.0,236.04007,0,1,19.4801,2.677804,0.964345
SDSS J155449.11+084204.8,238.7045833333330,8.7015,0.786,17.03,1562,8.85,0.008,26000.0,0.76,lightcurves9.png,SDSS J155449.11+084204.8,238.704638,3,1,41.4097,8.701354,0.786
SDSS J155647.78+181531.5,239.19916666666700,18.258916666666700,1.502,18.79,1428,9.51,0.01,670.0,7.24,lightcurves9.png,SDSS J155647.78+181531.5,239.199096,0,1,0.0,18.258756,1.501271
SDSS J160730.33+144904.3,241.87625000000000,14.817833333333300,1.8,17.57,1724,9.82,0.013,250.0,24.58,lightcurves9.png,SDSS J160730.33+144904.3,241.876407,0,1,18.4865,14.817871,1.7996
SDSS J161013.67+311756.4,242.5570833333330,31.29905555555560,0.245,17.19,1724,7.92,0.005,3200000.0,0.05,lightcurves9.png,SDSS J161013.67+311756.4,242.556964,0,1,-1.0,31.299013,0.245342
SDSS J161854.64+230859.1,244.72750000000000,23.149805555555600,0.561,18.22,1666,8.37,0.006,290000.0,0.14,lightcurves9.png,SDSS J161854.64+230859.1,244.727674,0,1,14.6823,23.149755,0.561784
163107.34+560905.3,247.7808333333330,56.151416666666700,0.731,19.13,1724,8.38,0.006,220000.0,0.14,lightcurves9.png, ,247.78059,3,1,9.031,56.151484,0.731
HS 1630+2355,248.26125000000000,23.824666666666700,0.821,15.23,2040,9.86,0.02,1100.0,38.71,lightcurves9.png,HS 1630+2355,248.261102,0,1,267.0965,23.824588,0.820884
SDSS J164452.71+430752.2,251.2195833333330,43.131361111111100,1.715,17.06,2000,10.15,0.019,110.0,91.56,lightcurves9.png,SDSS J164452.71+430752.2,251.219628,0,1,15.6769,43.131186,1.70985
SDSS J165136.76+434741.3,252.9033333333330,43.79497222222220,1.604,18.13,1923,9.34,0.01,2600.0,4.12,lightcurves9.png,SDSS J165136.76+434741.3,252.903197,0,1,14.2583,43.79481,1.605951
SDSS J170616.24+370927.0,256.56750000000000,37.15750000000000,1.267,18.19,1388,9.1,0.007,3900.0,1.57,lightcurves10.png,SDSS J170616.24+370927.0,256.567676,0,1,14.3845,37.157504,1.2675
FBQS J17239+3748,260.97625000000000,37.81158333333330,0.828,17.55,1960,9.38,0.013,6000.0,6.05,lightcurves10.png,FBQS J1723+3748,260.976264,3,1,80.9764,37.811474,0.828
SDSS J172656.96+600348.5,261.7370833333330,60.06363888888890,0.991,18.5,1923,9.15,0.01,11000.0,2.33,lightcurves10.png,SDSS J172656.96+600348.5,261.737334,0,1,-1.0,60.063481,0.989528
SDSS J221016.97+122213.9,332.57083333333300,12.370555555555600,0.717,18.32,1333,9.0,0.008,11000.0,1.35,lightcurves10.png,SDSS J221016.97+122213.9,332.570748,0,1,33.3376,12.370532,0.717404